Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
ACURA,ILX,COMPACT,2,4,A,Z,9.9,6.7,8.5,33,196
ACURA,ILX,COMPACT,2.4,4,M,Z,11.2,7.7,9.6,29,221
ACURA,ILX HYBRID,COMPACT,1.5,4,A,Z,6,5.8,5.9,48,136
ACURA,MDX 4WD,SUV - SMALL,3.5,6,A,Z,12.7,9.1,11.1,25,255
ACURA,RDX AWD,SUV - SMALL,3.5,6,A,Z,12.1,8.7,10.6,27,244
ACURA,RLX,MID-SIZE,3.5,6,A,Z,11.9,7.7,10,28,230
ACURA,TL,MID-SIZE,3.5,6,A,Z,11.8,8.1,10.1,28,232
ACURA,TL AWD,MID-SIZE,3.7,6,A,Z,12.8,9,11.1,25,255
ACURA,TL AWD,MID-SIZE,3.7,6,M,Z,13.4,9.5,11.6,24,267
ACURA,TSX,COMPACT,2.4,4,A,Z,10.6,7.5,9.2,31,212
ACURA,TSX,COMPACT,2.4,4,M,Z,11.2,8.1,9.8,29,225
ACURA,TSX,COMPACT,3.5,6,A,Z,12.1,8.3,10.4,27,239
ALFA ROMEO,4C,TWO-SEATER,1.8,4,A,Z,9.7,6.9,8.4,34,193
ATON MARTIN,DB9,MINICOMPACT,5.9,12,A,Z,18,12.6,15.6,18,359
ATON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A,Z,18,12.6,15.6,18,359
ATON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,A,Z,17.4,11.3,14.7,19,338
ATON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M,Z,18.1,12.2,15.4,18,354
ATON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,A,Z,17.4,11.3,14.7,19,338
ATON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M,Z,18.1,12.2,15.4,18,354
ATON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A,Z,18,12.6,15.6,18,359
AUDI,A,COMPACT,2,4,A,Z,9.9,7.4,8.8,32,202
AUDI,A QUATTRO,COMPACT,2,4,A,Z,11.5,8.1,10,28,230
AUDI,A QUATTRO,COMPACT,2,4,M,Z,10.8,7.5,9.3,30,214
AUDI,A CABRIOLET QUATTRO,SUBCOMPACT,2,4,A,Z,11.5,8.1,10,28,230
AUDI,A QUATTRO,SUBCOMPACT,2,4,A,Z,11.5,8.1,10,28,230
AUDI,A QUATTRO,SUBCOMPACT,2,4,M,Z,10.8,7.5,9.3,30,214
AUDI,A QUATTRO,MID-SIZE,2,4,A,Z,12,8.1,10.2,28,235
AUDI,A QUATTRO,MID-SIZE,3,6,A,Z,12.8,8.6,10.9,26,251
AUDI,A QUATTRO TDI (Modified),MID-SIZE,3,6,A,D,9.8,6.2,8.1,35,217
AUDI,A QUATTRO,MID-SIZE,3,6,A,Z,13.3,8.5,11.2,25,262
AUDI,A QUATTRO TDI (Modified),MID-SIZE,3,6,A,D,9.8,6.2,8.1,35,217
AUDI,A,MID-SIZE,3,6,A,Z,13.1,8.8,11.2,25,258
AUDI,A,MID-SIZE,4,8,A,Z,13.7,8.3,11.3,25,265
AUDI,A TDI (Modified),MID-SIZE,3,6,A,D,9.8,6.5,8.4,34,224
AUDI,AL,FULL-SIZE,3,6,A,Z,13.1,8.8,11.2,25,258
AUDI,AL,FULL-SIZE,4,8,A,Z,14.7,9.7,12.5,23,288
AUDI,AL,FULL-SIZE,6.3,12,A,Z,18.7,11.5,15.5,18,363
AUDI,AL TDI (Modified),FULL-SIZE,3,6,A,D,9.8,6.5,8.4,34,224
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,A,Z,11.8,8.8,10.5,27,242
AUDI,Q5,SUV - SMALL,2,4,A,Z,12,8.5,10.4,27,239
AUDI,Q5,SUV - SMALL,3,6,A,Z,12.9,9.2,11.2,25,258
AUDI,Q5 TDI (Modified),SUV - SMALL,3,6,A,D,10.2,7.8,9,31,244
AUDI,Q5 HYBRID,SUV - SMALL,2,4,A,Z,9.9,8.3,9.2,31,212
AUDI,Q7,SUV - STANDARD,3,6,A,Z,15.1,10.9,13.2,21,304
AUDI,Q7 TDI (Modified),SUV - STANDARD,3,6,A,D,12.4,8.7,10.7,26,290
AUDI,R8,TWO-SEATER,4.2,8,A,Z,17.6,11,14.6,19,336
AUDI,R8,TWO-SEATER,4.2,8,M,Z,21.2,13.4,17.7,16,407
AUDI,R8,TWO-SEATER,5.2,10,A,Z,18.2,10.6,14.8,19,347
AUDI,R8,TWO-SEATER,5.2,10,M,Z,21.1,13.8,17.8,16,409
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A,Z,17.6,11,14.6,19,336
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M,Z,21.2,13.4,17.7,16,407
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A,Z,18.2,10.6,14.8,19,347
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M,Z,21.1,13.8,17.8,16,409
AUDI,RS 5,SUBCOMPACT,4.2,8,A,Z,15.3,10.9,13.3,21,306
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A,Z,15.2,11.3,13.4,21,308
AUDI,RS 7,MID-SIZE,4,8,A,Z,15.5,8.8,12.5,23,293
AUDI,S4,COMPACT,3,6,A,Z,13.2,9.2,11.4,25,262
AUDI,S4,COMPACT,3,6,M,Z,14.6,9.8,12.4,23,285
AUDI,S5,SUBCOMPACT,3,6,A,Z,13.2,9.2,11.4,25,262
AUDI,S5,SUBCOMPACT,3,6,M,Z,14.6,9.8,12.4,23,285
AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A,Z,13.3,9.5,11.6,24,267
AUDI,S6,MID-SIZE,4,8,A,Z,14.2,9.7,12.2,23,281
AUDI,S7,MID-SIZE,4,8,A,Z,14.2,9.7,12.2,23,281
AUDI,S8,MID-SIZE,4,8,A,Z,15.8,9.2,12.8,22,300
AUDI,SQ5,SUV - SMALL,3,6,A,Z,14.9,10.1,12.7,22,292
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A,Z,10.4,7.6,9.1,31,209
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A,Z,10.4,7.6,9.1,31,209
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A,Z,11.5,8.8,10.3,27,237
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A,Z,11.5,8.8,10.3,27,237
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,A,Z,16.3,9.8,13.4,21,314
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,A,Z,18.8,11.5,15.5,18,356
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,A,Z,17.4,10.2,14.2,20,332
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,A,Z,20,12.2,16.5,17,380
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,A,Z,20,12.2,16.5,17,380
BENTLEY,FLYING SPUR,MID-SIZE,6,12,A,Z,20.3,11.9,16.5,17,388
BENTLEY,MULSANNE,MID-SIZE,6.8,8,A,Z,22.3,14.9,19,15,437
BMW,320i,COMPACT,2,4,A,Z,10,6.5,8.4,34,193
BMW,320i,COMPACT,2,4,M,Z,10.4,6.7,8.7,32,200
BMW,320i xDRIVE,COMPACT,2,4,A,Z,10.2,7,8.8,32,202
BMW,328d xDRIVE,COMPACT,2,4,A,D,7.6,5.5,6.7,42,181
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A,D,7.6,5.5,6.7,42,181
BMW,328i,COMPACT,2,4,A,Z,10,6.5,8.4,34,193
BMW,328i,COMPACT,2,4,M,Z,10.4,6.7,8.7,32,200
BMW,328i xDRIVE,COMPACT,2,4,A,Z,10.6,7.2,9.1,31,209
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A,Z,10.6,7.2,9.1,31,209
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A,Z,10.6,7.2,9.1,31,209
BMW,335i,COMPACT,3,6,A,Z,11.4,7.3,9.6,29,221
BMW,335i,COMPACT,3,6,M,Z,11.8,7.9,10,28,230
BMW,335i xDRIVE,COMPACT,3,6,A,Z,11.7,7.8,9.9,29,228
BMW,335i xDRIVE,COMPACT,3,6,M,Z,11.9,8.3,10.3,27,237
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A,Z,11.9,8,10.1,28,232
BMW,428i COUPE,COMPACT,2,4,A,Z,10,6.5,8.4,34,193
BMW,428i COUPE,COMPACT,2,4,M,Z,10.4,6.7,8.7,32,200
BMW,428i xDRIVE COUPE,COMPACT,2,4,A,Z,10.6,7.2,9.1,31,209
BMW,435i COUPE,COMPACT,3,6,A,Z,11.4,7.3,9.6,29,221
BMW,435i COUPE,COMPACT,3,6,M,Z,11.8,7.9,10,28,230
BMW,435i xDRIVE COUPE,COMPACT,3,6,A,Z,11.7,7.8,9.9,29,228
BMW,435i xDRIVE COUPE,COMPACT,3,6,M,Z,11.9,8.3,10.3,27,237
BMW,528i,MID-SIZE,2,4,A,Z,10.2,7,8.8,32,202
BMW,528i xDRIVE,MID-SIZE,2,4,A,Z,10.6,7.2,9.1,31,209
BMW,535d xDRIVE,MID-SIZE,3,6,A,D,9.2,6.4,7.9,36,213
BMW,535i xDRIVE,MID-SIZE,3,6,A,Z,11.9,8,10.1,28,232
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A,Z,12.5,8.6,10.7,26,246
BMW,550i xDRIVE,MID-SIZE,4.4,8,A,Z,14.4,9.6,12.2,23,281
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A,Z,15,9.8,12.7,22,292
BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,A,Z,11.9,8,10.1,28,232
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A,Z,15,9.8,12.7,22,292
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A,Z,14.4,9.6,12.2,23,281
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A,Z,15,9.8,12.7,22,292
BMW,740Li xDRIVE,FULL-SIZE,3,6,A,Z,12.5,8.6,10.7,26,246
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A,Z,15,9.8,12.7,22,292
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A,Z,15,9.8,12.7,22,292
BMW,760Li,FULL-SIZE,6,12,A,Z,18.7,11.5,15.5,18,356
BMW,ACTIVEHYBRID 3,COMPACT,3,6,A,Z,9.2,7.1,8.3,34,191
BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,A,Z,10.5,7.9,9.3,30,214
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3,6,A,Z,10.5,7.6,9.2,31,212
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A,Z,15,9.8,12.7,22,292
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A,Z,15,9.8,12.7,22,292
BMW,M,MID-SIZE,4.4,8,A,Z,17.3,11.5,14.7,19,338
BMW,M,MID-SIZE,4.4,8,M,Z,16.2,10.9,13.8,20,317
BMW,M,COMPACT,4.4,8,A,Z,17.3,11.5,14.7,19,338
BMW,M,COMPACT,4.4,8,M,Z,16.2,10.9,13.8,20,317
BMW,M CABRIOLET,SUBCOMPACT,4.4,8,A,Z,17.3,11.5,14.7,19,338
BMW,M CABRIOLET,SUBCOMPACT,4.4,8,M,Z,16.2,10.9,13.8,20,317
BMW,M GRAN COUPE,COMPACT,4.4,8,A,Z,17.3,11.5,14.7,19,338
BMW,M GRAN COUPE,COMPACT,4.4,8,M,Z,16.2,10.9,13.8,20,317
BMW,X1 xDRIVE28i,SUV - SMALL,2,4,A,Z,10.6,7.2,9.1,31,209
BMW,X1 xDRIVE35i,SUV - SMALL,3,6,A,Z,13.2,8.9,11.3,25,260
BMW,X3 xDRIVE28i,SUV - SMALL,2,4,A,Z,11.2,8.5,10,28,230
BMW,X3 xDRIVE35i,SUV - SMALL,3,6,A,Z,12.6,9.1,11,26,253
BMW,X5 xDRIVE35i,SUV - STANDARD,3,6,A,Z,12.9,8.8,11.1,25,255
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A,Z,16.3,10.9,13.9,20,320
BMW,X6 M,SUV - STANDARD,4.4,8,A,Z,18.1,13.7,16.1,18,370
BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,A,Z,13.6,9.8,11.9,24,274
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A,Z,16.4,11.3,14.1,20,324
BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,A,Z,10.8,7.1,9.1,31,209
BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M,Z,10.4,6.7,8.7,32,200
BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,A,Z,13.7,10.1,12.1,23,278
BMW,Z4 sDRIVE35i,TWO-SEATER,3,6,M,Z,12.7,9,11,26,253
BMW,Z4 sDRIVE35is,TWO-SEATER,3,6,A,Z,13.7,10.1,12.1,23,278
BUICK,ENCLAE,SUV - STANDARD,3.6,6,A,X,14.3,9.9,12.3,23,283
BUICK,ENCLAE AWD,SUV - STANDARD,3.6,6,A,X,14.6,10.2,12.6,22,290
BUICK,ENCORE,SUV - SMALL,1.4,4,A,X,9.5,7.2,8.5,33,196
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,A,X,10.2,8,9.2,31,212
BUICK,LACROSSE,MID-SIZE,3.6,6,A,X,13.7,8.7,11.5,25,264
BUICK,LACROSSE,MID-SIZE,3.6,6,A,E,18.4,12.2,15.6,18,250
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,A,X,13.7,8.9,11.5,25,264
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,A,E,19.4,13,16.5,17,264
BUICK,LACROSSE eAIST,MID-SIZE,2.4,4,A,X,9.6,6.5,8.2,34,189
BUICK,REGAL,MID-SIZE,2,4,A,Z,11.5,7.9,9.9,29,228
BUICK,REGAL,MID-SIZE,2,4,M,Z,11.6,7.5,9.8,29,225
BUICK,REGAL AWD,MID-SIZE,2,4,A,Z,12.3,8.7,10.7,26,246
BUICK,REGAL eAIST,MID-SIZE,2.4,4,A,X,9.6,6.5,8.2,34,189
BUICK,VERANO,COMPACT,2,4,A,Z,11.5,7.9,9.9,29,228
BUICK,VERANO,COMPACT,2,4,M,Z,11.6,7.5,9.8,29,225
BUICK,VERANO,COMPACT,2.4,4,A,X,11.3,7.4,9.5,30,218
CADILLAC,ATS,COMPACT,2,4,A,Z,11.3,7.5,9.6,29,221
CADILLAC,ATS,COMPACT,2,4,M,Z,12.1,7.9,10.2,28,235
CADILLAC,ATS,COMPACT,2.5,4,A,X,10.5,7.2,9,31,207
CADILLAC,ATS,COMPACT,3.6,6,A,X,12.8,8.5,10.9,26,251
CADILLAC,ATS AWD,COMPACT,2,4,A,Z,11.8,8.1,10.1,28,232
CADILLAC,ATS AWD,COMPACT,3.6,6,A,X,13.1,9,11.3,25,260
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,A,X,13.2,8.7,11.2,25,258
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,A,X,13.3,9,11.4,25,262
CADILLAC,CTS SEDAN,MID-SIZE,2,4,A,Z,11.9,7.9,10.1,28,232
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,A,X,12.9,8.2,10.8,26,248
CADILLAC,CTS SEDAN AWD,MID-SIZE,2,4,A,Z,12.6,8.5,10.8,26,248
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,A,X,13.1,9,11.3,25,260
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,A,Z,15.1,9.9,12.8,22,294
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3,6,A,X,12.7,8.9,11,26,253
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,A,X,13.3,8.9,11.3,25,260
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,A,X,12.8,9.1,11.1,25,255
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,A,X,13.3,9,11.4,25,262
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,A,Z,19.7,12.9,16.6,17,382
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M,Z,16.7,12.5,14.8,19,340
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,A,Z,19.7,12.9,16.6,17,382
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M,Z,16.7,12.5,14.8,19,340
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,A,Z,19.7,12.9,16.6,17,382
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M,Z,16.7,12.5,14.8,19,340
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A,Z,17,11.8,14.7,19,338
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A,E,23.3,16.1,20.1,14,322
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A,Z,18.8,13.4,16.4,17,377
